username,num_nominations,url
shavonnewong_,18,https://twitter.com/shavonnewong_
CarbonatedCred1,16,https://twitter.com/CarbonatedCred1
cryptopom1,15,https://twitter.com/cryptopom1
NiftyWhaleNFT,13,https://twitter.com/NiftyWhaleNFT
NFT_ish,12,https://twitter.com/NFT_ish
printsbymari,10,https://twitter.com/printsbymari
stephyfung,10,https://twitter.com/stephyfung
IndraTor,9,https://twitter.com/IndraTor
tina_eisen,9,https://twitter.com/tina_eisen
michellekconnop,9,https://twitter.com/michellekconnop
KateWoodmanArt,9,https://twitter.com/KateWoodmanArt
surrealistshay,8,https://twitter.com/surrealistshay
TalithaKingArt,8,https://twitter.com/TalithaKingArt
slaveofsaturn,8,https://twitter.com/slaveofsaturn
AshleyMarie_1,7,https://twitter.com/AshleyMarie_1
nftangel,7,https://twitter.com/nftangel
jlindsayfilm,7,https://twitter.com/jlindsayfilm
ImGlassCrown,7,https://twitter.com/ImGlassCrown
Smoltog,7,https://twitter.com/Smoltog
iamlirona,7,https://twitter.com/iamlirona
Ducks_and_Leeks,7,https://twitter.com/Ducks_and_Leeks
roxannedarling,7,https://twitter.com/roxannedarling
AnaIsabel_Photo,7,https://twitter.com/AnaIsabel_Photo
NFTGoddesses,6,https://twitter.com/NFTGoddesses
emackelder,6,https://twitter.com/emackelder
priyankap_patel,6,https://twitter.com/priyankap_patel
Swopes,6,https://twitter.com/Swopes
visualswithsam,6,https://twitter.com/visualswithsam
healingvisions,6,https://twitter.com/healingvisions
rebecca_bathory,6,https://twitter.com/rebecca_bathory
dianaesinclair,6,https://twitter.com/dianaesinclair
beckasaville,6,https://twitter.com/beckasaville
ARTJEDI1,6,https://twitter.com/ARTJEDI1
sarah_script,6,https://twitter.com/sarah_script
ExtendedVictory,6,https://twitter.com/ExtendedVictory
kas__vegas,6,https://twitter.com/kas__vegas
digitalartchick,6,https://twitter.com/digitalartchick
annamcnaughty,6,https://twitter.com/annamcnaughty
reginawamba,5,https://twitter.com/reginawamba
ToppyEton,5,https://twitter.com/ToppyEton
viroze,5,https://twitter.com/viroze
NFTtori,5,https://twitter.com/NFTtori
LisaODT,5,https://twitter.com/LisaODT
JimenaBuenaVida,5,https://twitter.com/JimenaBuenaVida
M1ssNft,5,https://twitter.com/M1ssNft
zosphotos,5,https://twitter.com/zosphotos
batyrgoreeva,5,https://twitter.com/batyrgoreeva
InfiniteMantra,5,https://twitter.com/InfiniteMantra
michellevonkalb,5,https://twitter.com/michellevonkalb
katecursed,5,https://twitter.com/katecursed
blakekathryn,5,https://twitter.com/blakekathryn
AkashiqueStudi0,5,https://twitter.com/AkashiqueStudi0
catfordcoates,5,https://twitter.com/catfordcoates
BoxheadTweets,4,https://twitter.com/BoxheadTweets
lifewithart_,4,https://twitter.com/lifewithart_
aylaelmoussa,4,https://twitter.com/aylaelmoussa
jenjustjen3,4,https://twitter.com/jenjustjen3
adultarts,4,https://twitter.com/adultarts
gracealmeradk,4,https://twitter.com/gracealmeradk
nekosmother,4,https://twitter.com/nekosmother
ClaireSilver12,4,https://twitter.com/ClaireSilver12
NikiLeSunshine1,4,https://twitter.com/NikiLeSunshine1
k_robitailleart,4,https://twitter.com/k_robitailleart
KJerzykPhoto,4,https://twitter.com/KJerzykPhoto
KristyGlas,4,https://twitter.com/KristyGlas
BgervillaN,4,https://twitter.com/BgervillaN
crypto__fantasy,4,https://twitter.com/crypto__fantasy
VjNeurite,4,https://twitter.com/VjNeurite
EmpressTrash,4,https://twitter.com/EmpressTrash
NinArt888,4,https://twitter.com/NinArt888
paranoidhill,4,https://twitter.com/paranoidhill
MarischaBecker,4,https://twitter.com/MarischaBecker
